x,y
3.47257119376551,3.7090411498947295
14.112606215502876,0.7015031468170674
14.650622154661402,0.7671570557576146
9.571648237256117,9.036188174015658
9.970627923627841,3.365527830147954
7.422247657068692,5.230799077997567
5.65566570829898,8.534039537322284
9.760448136155288,2.2572414273466612
19.462455765542433,2.7143189215353845
4.568873152959139,1.2315528051885438
4.963761060391074,7.923494728896929
13.897542159602775,3.3761846643175417
7.159430624991847,6.092156614768388
4.017448179637442,5.38614637588852
13.89666724595152,1.977667250324443
16.277586113402826,6.605411245522987
1.1845491799632124,6.321545566638132
17.418565696557728,2.352591718184401
3.4357554095282272,1.942324106185026
3.104540799151292,9.712927533622107
